title,company,dday,views,badges,img_url
멘탈케어 애플리케이션 네이밍 공모전,이음컴퍼니,D-14,751,['브랜드/네이밍'],https://cf-tabs-image.campuspick.com/activity/1766497778668584_thumb.jpg
2026 국가유산 재난안전 공모전,국가유산청,D-1,"3,030","['브랜드/네이밍', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1765950993491427_thumb.jpg
Meyou 생리대 슬로건 콘테스트,(주)에이치아이글로넷,D-13,"2,772",['브랜드/네이밍'],https://cf-tabs-image.campuspick.com/activity/1765426305387660_thumb.jpg
양재역 GTX-C 환승코어 네이밍 & 아이디어 공모전,서초구,마감,"2,932","['기획/아이디어', '브랜드/네이밍']",https://cf-tabs-image.campuspick.com/activity/1764752364563959_thumb.jpg
'생활폐기물 분리배출 누리집'의 새로운 이름을 지어주세요!,기후에너지환경부,마감,"3,170",['브랜드/네이밍'],https://cf-tabs-image.campuspick.com/activity/1764295436487888_thumb.jpg
2026 경제성장전략 대국민 공모전,기획재정부,마감,"1,876","['기획/아이디어', '브랜드/네이밍']",https://cf-tabs-image.campuspick.com/activity/1764305762496848_thumb.jpg
[LG전자] LG전자 멤버십 앱 스플래시 콘텐츠 공모전(~12/17),LG전자,마감,"2,337","['기획/아이디어', '브랜드/네이밍', '사진/영상/UCC', '디자인']",https://cf-tabs-image.campuspick.com/activity/176394619478412_thumb.jpg
[부산관광공사] 2025 부산 관광·마이스 창업 트래블톤 참가자 모집,부산관광공사,마감,"1,513","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', 'IT/소프트웨어/게임', '기타', '디자인']",https://cf-tabs-image.campuspick.com/activity/1762502008641692_thumb.jpg
롯데쇼핑e커머스 뷰티 앱 트위즈(twiz) 카피라이팅 공모전,롯데쇼핑e커머스,마감,"3,501","['기획/아이디어', '브랜드/네이밍', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1762418828460614_thumb.jpg
2025년 한국보건의료정보원 친환경·탄소중립 대국민 아이디어 공모전,한국보건의료정보원,마감,"3,766","['브랜드/네이밍', '기획/아이디어']",https://cf-tabs-image.campuspick.com/activity/1761802936960768_thumb.jpg
한국교통연구원 개원 40주년 기념 엠블럼 및 슬로건 공모전 공고,한국교통연구원,마감,"4,414","['브랜드/네이밍', '디자인', '기획/아이디어', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1761552781552654_thumb.jpg
2026 에몬스 장학생 [18기] 모집,에몬스가구,마감,"7,138","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능', '문학/수기/시나리오', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1761028066393147_thumb.jpg
가톨릭신문 로고 & 제호 디자인 공모전,가톨릭신문,마감,"2,283","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '디자인', '기타']",https://cf-tabs-image.campuspick.com/activity/1760433466889988_thumb.jpg
「숏폼 드라마 제목 공모전」,GTEC,마감,"2,414","['기획/아이디어', '브랜드/네이밍', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1760059352024642_thumb.jpg
2025 대한민국 과일산업대전 슬로건 공모전,농림축산식품부,마감,"2,093","['기획/아이디어', '브랜드/네이밍']",https://cf-tabs-image.campuspick.com/activity/1758600646155693_thumb.jpg
서울시교육청 신청사 건물 명칭 공모,서울특별시교육청,마감,"2,192",['브랜드/네이밍'],https://cf-tabs-image.campuspick.com/activity/1758013292862560_thumb.jpg
캐스퍼 굿즈 디자인 공모전,현대자동차 캐스퍼,마감,"7,329","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '디자인', '기타']",https://cf-tabs-image.campuspick.com/activity/1756962866704576_thumb.jpg
유니스터디 AI 프롬프트 템플릿 공모전,유니스터디,마감,"2,576","['기획/아이디어', '브랜드/네이밍', '디자인', '기타']",https://cf-tabs-image.campuspick.com/activity/175685772663499_thumb.jpg
애니메이션박물관과 토이로봇관의 미래 비전을 위한 창의적 아이디어 공모,애니메이션박물관,마감,"1,953","['기획/아이디어', '브랜드/네이밍']",https://cf-tabs-image.campuspick.com/activity/1756454664075227_thumb.jpg
제1회 글로벌도시관광서밋 콘텐츠 공모전,제1회 글로벌도시관광서밋 사무국,마감,"3,438","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1756356424701801_thumb.jpg
[문화체육관광부] 2025 한글 한마당 '한글 봉투 공모전',문화체육관광부,마감,"3,058","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '디자인']",https://cf-tabs-image.campuspick.com/activity/1755497444690146_thumb.jpg
전주비전대학교 캐릭터 네이밍 공모전,전주비전대학교,마감,"3,129",['브랜드/네이밍'],https://cf-tabs-image.campuspick.com/activity/1755045496688136_thumb.jpg
익산 대표음식 명칭 공모전,익산시,마감,"3,059",['브랜드/네이밍'],https://cf-tabs-image.campuspick.com/activity/1755045194266663_thumb.jpg
BBQ 집단치성 콘테스트,BBQ,마감,"3,668","['기획/아이디어', '브랜드/네이밍']",https://cf-tabs-image.campuspick.com/activity/175499994982282_thumb.jpg
2025 손상예방 인식제고 캐릭터 공모전,질병관리청,마감,"1,524","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '디자인']",https://cf-tabs-image.campuspick.com/activity/1754964675208212_thumb.jpg
[모집] 2025 제7회 청년 스타트업 어워즈,청년과미래,마감,"4,799","['기획/아이디어', '브랜드/네이밍', 'IT/소프트웨어/게임', '기타']",https://cf-tabs-image.campuspick.com/activity/1754789518828426_thumb.jpg
제8회 디테크(D-TECH) 공모전,법무법인 디엘지 등,마감,"6,047","['기획/아이디어', '브랜드/네이밍', '디자인', 'IT/소프트웨어/게임', '기타']",https://cf-tabs-image.campuspick.com/activity/1755146439981444_thumb.jpg
AI로 만드는 ’CRE-AI-TIVE 숏폼 챌린지‘,한국경영인증원(KMR),마감,"4,071","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능', 'IT/소프트웨어/게임', '기타']",https://cf-tabs-image.campuspick.com/activity/1754466135687327_thumb.jpg
2025 무신사 넥스트 패션 스콜라십(MNFS) 6기 모집 공고,무신사,마감,"5,629","['기획/아이디어', '브랜드/네이밍', '디자인', '예체능']",https://cf-tabs-image.campuspick.com/activity/1754294217595279_thumb.jpg
비긴스 바이 정샘물 콘텐츠 크리에이티브 공모전,정샘물뷰티,마감,"4,027","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', '디자인']",https://cf-tabs-image.campuspick.com/activity/1753864470793380_thumb.jpg
[문화체육관광부] 제2기 로컬100 후보군 국민추천 공모,지역문화진흥원,마감,"3,066","['기획/아이디어', '브랜드/네이밍', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1753417535782894_thumb.jpg
"2025바른말쉬운말고운말 만화,표어 공모전",문화체육관광부,마감,"5,493","['브랜드/네이밍', '디자인', '문학/수기/시나리오']",https://cf-tabs-image.campuspick.com/activity/1752819177439342_thumb.jpg
「제로웨이스트 라이프 브랜딩 공모전」 개최 안내,Dream Tale,마감,"3,299","['기획/아이디어', '브랜드/네이밍']",https://cf-tabs-image.campuspick.com/activity/1752584146143977_thumb.jpg
『(가칭)남원 인재학당』 네이밍 공모전,남원시,마감,380,"['기획/아이디어', '브랜드/네이밍']",https://cf-tabs-image.campuspick.com/activity/1752472330748105_thumb.jpg
2025 티케이엘리베이터 대학생 브랜드 마케팅 공모전,티케이엘리베이터코리아,마감,"5,052","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '디자인']",https://cf-tabs-image.campuspick.com/activity/1751592105679592_thumb.jpg
"[삼성화재 카르르 챌린지] 참여만 해도 1만원! 1등하면 1,000만원!",삼성화재,마감,"1,634","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', '예체능', '기타']",https://cf-tabs-image.campuspick.com/activity/1750910677716688_thumb.jpg
방학 중 전국 스토리(웹소설) 최강자전! 슈퍼루키 해커톤 참여자 모집,진천K스토리창작클러스터,마감,"1,207","['기획/아이디어', '브랜드/네이밍', '예체능', '문학/수기/시나리오']",https://cf-tabs-image.campuspick.com/activity/1750742591209145_thumb.jpg
[아모레퍼시픽] 제2회 A-ditor 숏폼 공모전,아모레퍼시픽,마감,"1,665","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1750054473906216_thumb.jpg
「조치원 활성화 프로젝트」2025 로컬콘텐츠 브랜딩 공모전 개최 💡,(재)세종창조경제혁신센터,마감,"3,519","['기획/아이디어', '브랜드/네이밍', '디자인']",https://cf-tabs-image.campuspick.com/activity/1750033586502103_thumb.jpg
"🫟창작 수필 공모전 - ""SNS 속 나는 누구인가?""💬🫟",페르소나랩,마감,"5,026","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '문학/수기/시나리오']",https://cf-tabs-image.campuspick.com/activity/1749136582087983_thumb.jpg
2025년 제2회 강남 자유평화 미술대전,민주평화통일자문회의 서울강남구협의회,마감,678,"['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '디자인', '예체능', '기타']",https://cf-tabs-image.campuspick.com/activity/1749089247320478_thumb.jpg
[광주경찰청] 2025 피싱범죄 예방 콘텐츠 공모전,광주경찰청,마감,"2,166","['브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능']",https://cf-tabs-image.campuspick.com/activity/1748492065436598_thumb.jpg
제7회 오티콘챌린지 공모전,"오티콘, 다이어텍",마감,"2,242","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', 'IT/소프트웨어/게임', '기타']",https://cf-tabs-image.campuspick.com/activity/1747875544692807_thumb.jpg
[한국발명진흥회] 2025년 IP 아카데미 카드뉴스 공모전,특허청,마감,"2,373","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '디자인']",https://cf-tabs-image.campuspick.com/activity/1748420453574498_thumb.jpg
[인천광역시 동구] 만석화수 해안산책로 네이밍 공모전,인천광역시 동구청,마감,"1,497",['브랜드/네이밍'],https://cf-tabs-image.campuspick.com/activity/1747383559424241_thumb.jpg
"[브랜드유 슬로건 공모전] 나를 담는 브랜드, 당신의 언어로 말해주세요",BRANDU,마감,"1,943",['브랜드/네이밍'],https://cf-tabs-image.campuspick.com/activity/1747301977505308_thumb.jpg
총상금 1억 2천만원 ! 2025 농식품 창업콘테스트 참가자 모집중 !,농림축산식품부,마감,"1,875","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능', '문학/수기/시나리오', 'IT/소프트웨어/게임', '기타']",https://cf-tabs-image.campuspick.com/activity/1747104542451604_thumb.jpg
[기상청] 제6회 기상청 달콤기후 공모전 모집(~6/13),기상청,마감,"2,905","['기획/아이디어', '브랜드/네이밍', '디자인', '문학/수기/시나리오']",https://cf-tabs-image.campuspick.com/activity/1747015898318134_thumb.jpg
